EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1938-2650,ACTA CYTOLOGICA,ACTA CYTOL,Acta Cytol.,Acta Cytol
1948-0989,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,Acad. Manage. J.,Acad Manage J
1421-9662,ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,Acta Haematol.,Acta Haematol
2295-3337,ACTA CLINICA BELGICA,ACTA CLIN BELG,Acta Clin. Belg.,Acta Clin Belg
1873-474X,INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,Int. J. Dev. Neurosci.,Int J Dev Neurosci
1572-8358,ACTA BIOTHEORETICA,ACTA BIOTHEOR,Acta Biotheor.,Acta Biotheor
1724-6083,JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,J BIOL REG HOMEOS AG,J. Biol. Regul. Homeost. Agents,J Biol Regul Homeost Agents
1784-973X,ACTA CARDIOLOGICA,ACTA CARDIOL,Acta Cardiol.,Acta Cardiol
1689-0035,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,Acta Neurobiol. Exp.,Acta Neurobiol Exp (Wars)
2240-2993,ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,Acta Neurol. Belg.,Acta Neurol Belg
1432-0533,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,Acta Neuropathol.,Acta Neuropathol
1651-2057,ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,Acta Derm.-Venereol.,Acta Derm Venereol
1930-3807,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,Acad. Manage. Rev.,Acad Manage Rev
1734-154X,ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,Acta Biochim. Pol.,Acta Biochim Pol
1618-0372,ACTA HISTOCHEMICA,ACTA HISTOCHEM,Acta Histochem.,Acta Histochem
1399-6576,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,Acta Anaesthesiol. Scand.,Acta Anaesthesiol Scand
1502-3850,ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,Acta Odontol. Scand.,Acta Odontol Scand
1473-0766,GYNECOLOGICAL ENDOCRINOLOGY,GYNECOL ENDOCRINOL,Gynecol. Endocrinol.,Gynecol Endocrinol
1600-0404,ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,Acta Neurol. Scand.,Acta Neurol Scand
1646-0758,Acta Medica Portuguesa,ACTA MEDICA PORT,Acta Medica Port.,Acta Med Port
1827-675X,Acta Otorhinolaryngologica Italica,ACTA OTORHINOLARYNGO,Acta Otorhinolaryngol. Ital.,Acta Otorhinolaryngol Ital
1523-4681,JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,J. Bone Miner. Res.,J Bone Miner Res
0942-0940,ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,Acta Neurochir.,Acta Neurochir (Wien)
1600-0412,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,Acta Obstet. Gynecol. Scand.,Acta Obstet Gynecol Scand
1651-2251,ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,Acta Oto-Laryngol.,Acta Otolaryngol
1600-0447,ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,Acta Psychiatr. Scand.,Acta Psychiatr Scand
1873-6297,ACTA PSYCHOLOGICA,ACTA PSYCHOL,Acta Psychol.,Acta Psychol (Amst)
1751-0147,ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,Acta Vet. Scand.,Acta Vet Scand
1336-2305,ACTA VIROLOGICA,ACTA VIROL,Acta Virol.,Acta Virol
1699-7980,Actas Urologicas Espanolas,ACTAS UROL ESP,Actas Urol. Esp.,Actas Urol Esp
1873-6254,ACTA TROPICA,ACTA TROP,Acta Trop.,Acta Trop
2162-5557,Advances in Cancer Research,ADV CANCER RES,Adv.Cancer Res.,Adv Cancer Res
2214-8019,Advances in Experimental Medicine and Biology,ADV EXP MED BIOL,Adv.Exp.Med.Biol.,Adv Exp Med Biol
2162-5530,Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,Adv. Carbohydr .Chem. Biochem.,Adv Carbohydr Chem Biochem
2162-9471,Advances in Clinical Chemistry,ADV CLIN CHEM,Advan. Clin. Chem.,Adv Clin Chem
1616-8542,Advances in Biochemical Engineering-Biotechnology,ADV BIOCHEM ENG BIOT,Adv. Biochem. Eng. Biotechnol.,Adv Biochem Eng Biotechnol
1873-6327,ADDICTIVE BEHAVIORS,ADDICT BEHAV,Addict. Behav.,Addict Behav
1557-8445,Advances in Immunology,ADV IMMUNOL,Adv.Immunol.,Adv Immunol
1557-8429,Advances in Heterocyclic Chemistry,ADV HETEROCYCL CHEM,Adv. Heterocycl. Chem.,Adv Heterocycl Chem
2163-6079,Advances in Parasitology,ADV PARASIT,Adv.Parasitol.,Adv Parasitol
2162-5468,Advances in Microbial Physiology,ADV MICROB PHYSIOL,Adv.Microb.Physiol.,Adv Microb Physiol
1557-8399,Advances in Virus Research,ADV VIRUS RES,Adv.Virus Res.,Adv Virus Res
1552-3381,AMERICAN BEHAVIORAL SCIENTIST,AM BEHAV SCI,Am. Behav. Sci.,Am Behav Sci
1468-2834,AGE AND AGEING,AGE AGEING,Age Ageing,Age Ageing
2160-0562,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,AM J CLIN HYPN,Am. J. Clin. Hypn.,Am J Clin Hypn
1398-9995,ALLERGY,ALLERGY,Allergy,Allergy
1432-5241,AESTHETIC PLASTIC SURGERY,AESTHET PLAST SURG,Aesthet. Plast. Surg.,Aesthetic Plast Surg
1530-0277,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,ALCOHOL CLIN EXP RES,Alcoholism (NY),Alcohol Clin Exp Res
1578-1267,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,ALLERGOL IMMUNOPATH,Allergol. Immunopath.,Allergol Immunopathol (Madr)
1546-3141,AMERICAN JOURNAL OF ROENTGENOLOGY,AM J ROENTGENOL,Am. J. Roentgenol.,AJR Am J Roentgenol
1532-0650,AMERICAN FAMILY PHYSICIAN,AM FAM PHYSICIAN,Am. Fam. Physician,Am Fam Physician
1793-6853,AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,Am. J. Chin. Med.,Am J Chin Med
1936-959X,AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,Am. J. Neuroradiol.,AJNR Am J Neuroradiol
1533-0311,AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,Am. J. Dermatopathol.,Am J Dermatopathol
1872-7131,BRAIN & DEVELOPMENT,BRAIN DEV-JPN,Brain Dev.,Brain Dev
1537-2197,AMERICAN JOURNAL OF BOTANY,AM J BOT,Am. J. Bot.,Am J Bot
1879-1913,AMERICAN JOURNAL OF CARDIOLOGY,AM J CARDIOL,Am. J. Cardiol.,Am J Cardiol
1943-7722,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,Am. J. Clin. Pathol.,Am J Clin Pathol
1097-6744,AMERICAN HEART JOURNAL,AM HEART J,Am. Heart J.,Am Heart J
1537-453X,AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,AM J CLIN ONCOL-CANC,Am. J. Clin. Oncol.-Cancer Clin. Trials,Am J Clin Oncol
1097-6752,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,AM J ORTHOD DENTOFAC,Am. J. Orthod. Dentofac. Orthop.,Am J Orthod Dentofacial Orthop
1938-3207,AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,Am. J. Clin. Nutr.,Am J Clin Nutr
1523-6838,AMERICAN JOURNAL OF KIDNEY DISEASES,AM J KIDNEY DIS,Am. J. Kidney Dis.,Am J Kidney Dis
1097-9891,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,Am. J. Drug Alcohol Abuse,Am J Drug Alcohol Abuse
1573-2770,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,Am. J. Community Psychol.,Am J Community Psychol
1096-8652,AMERICAN JOURNAL OF HEMATOLOGY,AM J HEMATOL,Am. J. Hematol.,Am J Hematol
1476-6256,AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,Am. J. Epidemiol.,Am J Epidemiol
1572-0241,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,Am. J. Gastroenterol.,Am J Gastroenterol
1537-6605,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,Am. J. Hum. Genet.,Am J Hum Genet
1533-404X,AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,AM J FOREN MED PATH,Am. J. Forensic Med. Pathol.,Am J Forensic Med Pathol
1532-818X,AMERICAN JOURNAL OF OTOLARYNGOLOGY,AM J OTOLARYNG,Am. J. Otolaryngol.,Am J Otolaryngol
1097-0274,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,Am. J. Ind. Med.,Am J Ind Med
1538-7488,AMERICAN JOURNAL OF NURSING,AM J NURS,Am. J. Nurs.,Am J Nurs
1555-7162,AMERICAN JOURNAL OF MEDICINE,AM J MED,Am. J. Med.,Am J Med
1538-2990,AMERICAN JOURNAL OF THE MEDICAL SCIENCES,AM J MED SCI,Am. J. Med. Sci.,Am J Med Sci
1097-6868,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AM J OBSTET GYNECOL,Am. J. Obstet. Gynecol.,Am J Obstet Gynecol
1421-9670,AMERICAN JOURNAL OF NEPHROLOGY,AM J NEPHROL,Am. J. Nephrol.,Am J Nephrol
